recording_id,original_audio_path,cached_audio_path,status,samplerate,channels,duration_sec,ffmpeg_warning
Andean Guan_sound/Andean Guan10,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan10.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan10.wav,converted,32000,1,7.62778125,"[mp3 @ 000001fc6a2755c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan11,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan11.wav,converted,32000,1,20.40165625,"[mp3 @ 00000292b5c555c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan12,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan12.wav,converted,32000,1,15.62125,"[mp3 @ 00000166ad7655c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan13,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan13.wav,converted,32000,1,27.87265625,"[mp3 @ 0000023de1df55c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan14,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan14.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan14.wav,converted,32000,1,22.77878125,"[mp3 @ 000001460ff855c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan15,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan15.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan15.wav,converted,32000,1,22.77878125,"[mp3 @ 0000019213cb55c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan16,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan16.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan16.wav,converted,32000,1,68.80653125,"[mp3 @ 00000219c2a355c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan17,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan17.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan17.wav,converted,32000,1,50.28571875,"[mp3 @ 0000022d0b9955c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan18,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan18.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan18.wav,converted,32000,1,43.9379375,"[mp3 @ 000001d3728855c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan19,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan19.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan19.wav,converted,32000,1,33.39215625,
Andean Guan_sound/Andean Guan20,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan20.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan20.wav,converted,32000,1,14.00178125,
Andean Guan_sound/Andean Guan2,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan2.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan2.wav,converted,32000,1,81.01984375,
Andean Guan_sound/Andean Guan21,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan21.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan21.wav,converted,32000,1,22.91178125,
Andean Guan_sound/Andean Guan22,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan22.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan22.wav,converted,32000,1,22.91178125,
Andean Guan_sound/Andean Guan23,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan23.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan23.wav,converted,32000,1,22.91178125,
Andean Guan_sound/Andean Guan24,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan24.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan24.wav,converted,32000,1,101.45334375,
Andean Guan_sound/Andean Guan25,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan25.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan25.wav,converted,32000,1,146.77334375,
Andean Guan_sound/Andean Guan26,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan26.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan26.wav,converted,32000,1,61.5866875,
Andean Guan_sound/Andean Guan27,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan27.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan27.wav,converted,32000,1,104.22859375,"[mp3 @ 000001f98a7d55c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan28,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan28.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan28.wav,converted,32000,1,30.5791875,
Andean Guan_sound/Andean Guan29,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan29.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan29.wav,converted,32000,1,30.5791875,
Andean Guan_sound/Andean Guan30,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan30.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan30.wav,converted,32000,1,30.5791875,
Andean Guan_sound/Andean Guan3,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan3.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan3.wav,converted,32000,1,81.01984375,
Andean Guan_sound/Andean Guan31,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan31.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan31.wav,converted,32000,1,7.758375,"[mp3 @ 00000177d39e55c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan4,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan4.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan4.wav,converted,32000,1,81.01984375,
Andean Guan_sound/Andean Guan5,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan5.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan5.wav,converted,32000,1,27.5853125,"[mp3 @ 00000214d6ae55c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan6,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan6.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan6.wav,converted,32000,1,27.5853125,"[mp3 @ 0000021f3b9555c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan7,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan7.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan7.wav,converted,32000,1,27.5853125,"[mp3 @ 0000019e3f8855c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan9,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan9.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan9.wav,converted,32000,1,10.00490625,"[mp3 @ 000001f85a8255c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan8,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan8.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan8.wav,converted,32000,1,45.54703125,
Andean Tinamou_sound/Andean Tinamou10,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou10.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Tinamou_sound\Andean Tinamou10.wav,converted,32000,1,128.784,"[mp3 @ 000002e7265c55c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Tinamou_sound/Andean Tinamou11,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou11.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Tinamou_sound\Andean Tinamou11.wav,converted,32000,1,128.784,"[mp3 @ 0000025826e955c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Tinamou_sound/Andean Tinamou13,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou13.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Tinamou_sound\Andean Tinamou13.wav,converted,32000,1,60.2645,"[mp3 @ 00000201e8b755c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Tinamou_sound/Andean Tinamou12,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou12.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Tinamou_sound\Andean Tinamou12.wav,converted,32000,1,93.36165625,"[mp3 @ 000002dbfdff55c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Tinamou_sound/Andean Tinamou15,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou15.mp3,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Tinamou_sound\Andean Tinamou15.wav,converted,32000,1,4.91121875,
