recording_id,audio_path,folder_name,label_id,duration_total_sec,split,clip_id,start_sec,duration_sec,audio_path_original
Andean Guan_sound/Andean Guan10,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan10.wav,Andean Guan_sound,0,7.928208616780045,train,Andean Guan_sound/Andean Guan10__000,0.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan10.mp3
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,20.69952380952381,train,Andean Guan_sound/Andean Guan11__000,0.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,20.69952380952381,train,Andean Guan_sound/Andean Guan11__001,5.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,20.69952380952381,train,Andean Guan_sound/Andean Guan11__002,10.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,20.69952380952381,train,Andean Guan_sound/Andean Guan11__003,15.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3
Andean Guan_sound/Andean Guan12,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan12.wav,Andean Guan_sound,0,15.919750566893423,train,Andean Guan_sound/Andean Guan12__000,0.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3
Andean Guan_sound/Andean Guan12,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan12.wav,Andean Guan_sound,0,15.919750566893423,train,Andean Guan_sound/Andean Guan12__001,5.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3
Andean Guan_sound/Andean Guan12,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan12.wav,Andean Guan_sound,0,15.919750566893423,train,Andean Guan_sound/Andean Guan12__002,10.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,28.17074829931973,train,Andean Guan_sound/Andean Guan13__000,0.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,28.17074829931973,train,Andean Guan_sound/Andean Guan13__001,5.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,28.17074829931973,train,Andean Guan_sound/Andean Guan13__002,10.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,28.17074829931973,train,Andean Guan_sound/Andean Guan13__003,15.0,5.0,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3
