label_id,common_name,scientific_name,folder_name
0,Andean Guan,Penelope montagnii,Andean Guan_sound
1,Andean Tinamou,Nothoprocta pentlandii,Andean Tinamou_sound
2,Australian Brushturkey,Alectura lathami,Australian Brushturkey_sound
3,Band-tailed Guan,Penelope argyrotis colombiana,Band-tailed Guan_sound
4,Barred Tinamou,Crypturellus casiquiare,Barred Tinamou_sound
5,Bartletts Tinamou,,Bartletts Tinamou_sound
6,Baudo Guan,Penelope ortoni,Baudo Guan_sound
7,Bearded Guan,Penelope barbata,Bearded Guan_sound
8,Berlepschs Tinamou,,Berlepschs Tinamou_sound
9,Biak Scrubfowl,Megapodius geelvinkianus,Biak Scrubfowl_sound
10,Black Tinamou,Tinamus osgoodi hershkovitzi,Black Tinamou_sound
11,Black-billed Brushturkey,Talegalla fuscirostris,Black-billed Brushturkey_sound
12,Black-capped Tinamou,Crypturellus atrocapillus,Black-capped Tinamou_sound
13,Black-fronted Piping Guan,Pipile jacutinga,Black-fronted Piping Guan_sound
14,Blue-throated Piping Guan,Pipile cumanensis,Blue-throated Piping Guan_sound
15,Brazilian Tinamou,Crypturellus strigulosus,Brazilian Tinamou_sound
16,Brown Tinamou,Crypturellus obsoletus obsoletus,Brown Tinamou_sound
17,Brushland Tinamou,Nothoprocta cinerascens parvimaculata,Brushland Tinamou_sound
18,Buff-browed Chachalaca,Ortalis superciliaris,Buff-browed Chachalaca_sound
19,Cauca Guan,Penelope perspicax,Cauca Guan_sound
20,Chaco Chachalaca,Ortalis canicollis,Chaco Chachalaca_sound
21,Chestnut-bellied Guan,Penelope ochrogaster,Chestnut-bellied Guan_sound
22,Chestnut-headed Chachalaca,Ortalis ruficeps,Chestnut-headed Chachalaca_sound
23,Chestnut-winged Chachalaca,Ortalis garrula,Chestnut-winged Chachalaca_sound
24,Chilean Tinamou,Nothoprocta perdicaria,Chilean Tinamou_sound
25,Choco Tinamou,Crypturellus kerriae,Choco Tinamou_sound
26,Cinereous Tinamou,Crypturellus cinereus,Cinereous Tinamou_sound
27,Collared Brushturkey,Talegalla jobiensis,Collared Brushturkey_sound
28,Colombian Chachalaca,Ortalis columbiana,Colombian Chachalaca_sound
29,Common Ostrich,Struthio camelus australis,Common Ostrich_sound
30,Crested Guan,Penelope purpurascens aequatorialis,Crested Guan_sound
31,Curve-billed Tinamou,Nothoprocta curvirostris,Curve-billed Tinamou_sound
32,Darwins Nothura,,Darwins Nothura_sound
33,Dusky Megapode,Megapodius freycinet,Dusky Megapode_sound
34,Dusky-legged Guan,Penelope obscura bronzina,Dusky-legged Guan_sound
35,Dwarf Cassowary,Casuarius bennetti,Dwarf Cassowary_sound
36,Dwarf Tinamou,Taoniscus nanus,Dwarf Tinamou_sound
37,East Brazilian Chachalaca,Ortalis araucuan,East Brazilian Chachalaca_sound
38,Elegant Crested Tinamou,Eudromia elegans patagonica,Elegant Crested Tinamou_sound
39,Emu,Dromaius novaehollandiae,Emu_sound
40,Great Spotted Kiwi,Apteryx haastii,Great Spotted Kiwi_sound
41,Great Tinamou,Tinamus major,Great Tinamou_sound
42,Greater Rhea,Rhea americana,Greater Rhea_sound
43,Grey Tinamou,Tinamus tao,Grey Tinamou_sound
44,Grey-headed Chachalaca,Ortalis cinereiceps,Grey-headed Chachalaca_sound
45,Grey-legged Tinamou,Crypturellus duidae,Grey-legged Tinamou_sound
46,Highland Tinamou,Nothocercus bonapartei,Highland Tinamou_sound
47,Hooded Tinamou,Nothocercus nigrocapillus,Hooded Tinamou_sound
48,Huayco Tinamou,Rhynchotus maculicollis,Huayco Tinamou_sound
49,Lesser Nothura,Nothura minor,Lesser Nothura_sound
50,Lesser Rhea,Rhea pennata,Lesser Rhea_sound
51,Little Chachalaca,Ortalis motmot,Little Chachalaca_sound
