recording_id,audio_path,folder_name,label_id,duration_total_sec,split,audio_path_original
Andean Guan_sound/Andean Guan10,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan10.wav,Andean Guan_sound,0,7.928208616780045,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan10.mp3
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,20.69952380952381,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3
Andean Guan_sound/Andean Guan12,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan12.wav,Andean Guan_sound,0,15.919750566893423,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,28.17074829931973,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3
Andean Guan_sound/Andean Guan14,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan14.wav,Andean Guan_sound,0,23.07566893424036,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan14.mp3
Andean Guan_sound/Andean Guan15,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan15.wav,Andean Guan_sound,0,23.07566893424036,val,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan15.mp3
Andean Guan_sound/Andean Guan16,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan16.wav,Andean Guan_sound,0,69.10455782312926,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan16.mp3
Andean Guan_sound/Andean Guan17,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan17.wav,Andean Guan_sound,0,50.580181405895694,test,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan17.mp3
Andean Guan_sound/Andean Guan18,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan18.wav,Andean Guan_sound,0,44.23641723356009,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan18.mp3
Andean Guan_sound/Andean Guan19,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan19.wav,Andean Guan_sound,0,33.39213151927438,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan19.mp3
Andean Guan_sound/Andean Guan2,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan2.wav,Andean Guan_sound,0,81.01984126984127,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan2.mp3
Andean Guan_sound/Andean Guan20,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan20.wav,Andean Guan_sound,0,14.001768707482992,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan20.mp3
Andean Guan_sound/Andean Guan21,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan21.wav,Andean Guan_sound,0,22.91176870748299,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan21.mp3
Andean Guan_sound/Andean Guan22,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan22.wav,Andean Guan_sound,0,22.91176870748299,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan22.mp3
Andean Guan_sound/Andean Guan23,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan23.wav,Andean Guan_sound,0,22.91176870748299,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan23.mp3
Andean Guan_sound/Andean Guan24,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan24.wav,Andean Guan_sound,0,101.45333333333332,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan24.mp3
Andean Guan_sound/Andean Guan25,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan25.wav,Andean Guan_sound,0,146.77333333333334,test,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan25.mp3
Andean Guan_sound/Andean Guan26,D:\other\Bird\Code\data\kaggle_wav_cache\Andean Guan_sound\Andean Guan26.wav,Andean Guan_sound,0,61.586666666666666,train,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan26.mp3
