recording_id,original_audio_path,cached_audio_path,status,preprocessed,samplerate,channels,duration_sec,samples_before,samples_after,active_intervals,retained_fraction,ffmpeg_warning
Andean Tinamou_sound/Andean Tinamou15,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou15.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou15.wav,too_short_after_preprocess,,,,4.76721875,157159,152551,6,0.9706793756641363,
Andean Tinamou_sound/Andean Tinamou16,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou16.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou16.wav,too_short_after_preprocess,,,,4.76721875,157159,152551,6,0.9706793756641363,
Andean Tinamou_sound/Andean Tinamou2,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou2.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou2.wav,too_short_after_preprocess,,,,1.968,64512,62976,1,0.9761904761904762,
Andean Tinamou_sound/Andean Tinamou27,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou27.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou27.wav,too_short_after_preprocess,,,,4.94728125,158825,158313,1,0.9967763261451282,
Andean Tinamou_sound/Andean Tinamou3,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou3.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou3.wav,too_short_after_preprocess,,,,4.544,252448,145408,19,0.5759918874382051,
Andean Tinamou_sound/Andean Tinamou31,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou31.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou31.wav,too_short_after_preprocess,,,,3.904,298423,124928,17,0.4186272505805518,
Andean Tinamou_sound/Andean Tinamou4,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou4.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou4.wav,too_short_after_preprocess,,,,2.976,143778,95232,17,0.6623544631306598,
Andean Tinamou_sound/Andean Tinamou5,D:\other\Bird\Dataset\CC0\Andean Tinamou_sound\Andean Tinamou5.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Tinamou_sound\Andean Tinamou5.wav,too_short_after_preprocess,,,,2.976,143778,95232,17,0.6623544631306598,
Australian Brushturkey_sound/Australian Brushturkey10,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey10.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey10.wav,too_short_after_preprocess,,,,3.438625,110036,110036,1,1.0,
Australian Brushturkey_sound/Australian Brushturkey11,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey11.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey11.wav,too_short_after_preprocess,,,,3.438625,110036,110036,1,1.0,
Australian Brushturkey_sound/Australian Brushturkey12,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey12.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey12.wav,too_short_after_preprocess,,,,3.438625,110036,110036,1,1.0,
Australian Brushturkey_sound/Australian Brushturkey13,D:\other\Bird\Dataset\CC0\Australian Brushturkey_sound\Australian Brushturkey13.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Australian Brushturkey_sound\Australian Brushturkey13.wav,too_short_after_preprocess,,,,3.438625,110036,110036,1,1.0,
