recording_id,original_audio_path,cached_audio_path,status,preprocessed,samplerate,channels,duration_sec,samples_before,samples_after,active_intervals,retained_fraction,ffmpeg_warning
Andean Guan_sound/Andean Guan10,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan10.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan10.wav,converted,True,32000.0,1.0,7.248,244089,231936,2,0.9502107837714932,"[mp3 @ 0000020e3ac45640] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan11,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,converted,True,32000.0,1.0,18.816,652853,602112,3,0.9222780625960209,"[mp3 @ 0000024050835640] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan12,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan12.wav,converted,True,32000.0,1.0,14.368,499880,459776,5,0.9197727454589102,"[mp3 @ 0000020a316d56c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan13,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,converted,True,32000.0,1.0,27.024,891925,864768,2,0.9695523726770748,"[mp3 @ 00000293d03856c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan14,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan14.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan14.wav,converted,True,32000.0,1.0,21.728,728921,695296,2,0.9538701724878279,"[mp3 @ 0000016ce60e56c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan15,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan15.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan15.wav,converted,True,32000.0,1.0,21.728,728921,695296,2,0.9538701724878279,"[mp3 @ 000001df655856c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan17,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan17.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan17.wav,converted,True,32000.0,1.0,45.936,1609143,1469952,56,0.9134999189009305,"[mp3 @ 0000014be3ec56c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan16,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan16.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan16.wav,converted,True,32000.0,1.0,48.496,2201809,1551872,109,0.7048168119941376,"[mp3 @ 000002042ddc56c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan19,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan19.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan19.wav,converted,True,32000.0,1.0,32.51215625,1068549,1040389,21,0.9736465056820043,
Andean Guan_sound/Andean Guan18,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan18.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan18.wav,converted,True,32000.0,1.0,43.152,1406014,1380864,1,0.9821125536445583,"[mp3 @ 00000222bbd256c0] Estimating duration from bitrate, this may be inaccurate
"
Andean Guan_sound/Andean Guan20,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan20.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan20.wav,converted,True,32000.0,1.0,12.11378125,448057,387641,28,0.8651600131233302,
