label_id,original_label_id,common_name,scientific_name,folder_name,source_recordings
0,0,Andean Guan,Penelope montagnii,Andean Guan_sound,30
1,1,Andean Tinamou,Nothoprocta pentlandii,Andean Tinamou_sound,22
2,2,Australian Brushturkey,Alectura lathami,Australian Brushturkey_sound,19
3,3,Band-tailed Guan,Penelope argyrotis colombiana,Band-tailed Guan_sound,29
4,5,Bartletts Tinamou,,Bartletts Tinamou_sound,30
5,6,Baudo Guan,Penelope ortoni,Baudo Guan_sound,14
6,7,Bearded Guan,Penelope barbata,Bearded Guan_sound,27
7,8,Berlepschs Tinamou,,Berlepschs Tinamou_sound,7
8,9,Biak Scrubfowl,Megapodius geelvinkianus,Biak Scrubfowl_sound,7
9,10,Black Tinamou,Tinamus osgoodi hershkovitzi,Black Tinamou_sound,19
10,11,Black-billed Brushturkey,Talegalla fuscirostris,Black-billed Brushturkey_sound,20
11,12,Black-capped Tinamou,Crypturellus atrocapillus,Black-capped Tinamou_sound,23
12,13,Black-fronted Piping Guan,Pipile jacutinga,Black-fronted Piping Guan_sound,11
13,14,Blue-throated Piping Guan,Pipile cumanensis,Blue-throated Piping Guan_sound,30
14,15,Brazilian Tinamou,Crypturellus strigulosus,Brazilian Tinamou_sound,29
15,16,Brown Tinamou,Crypturellus obsoletus obsoletus,Brown Tinamou_sound,24
16,17,Brushland Tinamou,Nothoprocta cinerascens parvimaculata,Brushland Tinamou_sound,24
17,18,Buff-browed Chachalaca,Ortalis superciliaris,Buff-browed Chachalaca_sound,7
18,19,Cauca Guan,Penelope perspicax,Cauca Guan_sound,30
19,20,Chaco Chachalaca,Ortalis canicollis,Chaco Chachalaca_sound,30
20,21,Chestnut-bellied Guan,Penelope ochrogaster,Chestnut-bellied Guan_sound,10
21,23,Chestnut-winged Chachalaca,Ortalis garrula,Chestnut-winged Chachalaca_sound,29
22,24,Chilean Tinamou,Nothoprocta perdicaria,Chilean Tinamou_sound,6
23,25,Choco Tinamou,Crypturellus kerriae,Choco Tinamou_sound,5
24,26,Cinereous Tinamou,Crypturellus cinereus,Cinereous Tinamou_sound,30
