recording_id,audio_path,folder_name,original_label_id,duration_total_sec,label_id,split,cached_audio_path,duration_sec,preprocessed,audio_path_original
Andean Guan_sound/Andean Guan10,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan10.wav,Andean Guan_sound,0,7.248,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan10.wav,7.248,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan10.mp3
Andean Guan_sound/Andean Guan11,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,Andean Guan_sound,0,18.816,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan11.wav,18.816,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3
Andean Guan_sound/Andean Guan12,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan12.wav,Andean Guan_sound,0,14.368,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan12.wav,14.368,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3
Andean Guan_sound/Andean Guan13,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,Andean Guan_sound,0,27.024,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan13.wav,27.024,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3
Andean Guan_sound/Andean Guan14,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan14.wav,Andean Guan_sound,0,21.728,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan14.wav,21.728,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan14.mp3
Andean Guan_sound/Andean Guan15,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan15.wav,Andean Guan_sound,0,21.728,0,val,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan15.wav,21.728,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan15.mp3
Andean Guan_sound/Andean Guan16,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan16.wav,Andean Guan_sound,0,48.496,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan16.wav,48.496,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan16.mp3
Andean Guan_sound/Andean Guan17,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan17.wav,Andean Guan_sound,0,45.936,0,test,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan17.wav,45.936,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan17.mp3
Andean Guan_sound/Andean Guan18,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan18.wav,Andean Guan_sound,0,43.152,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan18.wav,43.152,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan18.mp3
Andean Guan_sound/Andean Guan19,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan19.wav,Andean Guan_sound,0,32.51215625,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan19.wav,32.51215625,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan19.mp3
Andean Guan_sound/Andean Guan2,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan2.wav,Andean Guan_sound,0,63.73984375,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan2.wav,63.73984375,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan2.mp3
Andean Guan_sound/Andean Guan20,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan20.wav,Andean Guan_sound,0,12.11378125,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan20.wav,12.11378125,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan20.mp3
Andean Guan_sound/Andean Guan21,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan21.wav,Andean Guan_sound,0,16.24,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan21.wav,16.24,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan21.mp3
Andean Guan_sound/Andean Guan22,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan22.wav,Andean Guan_sound,0,16.24,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan22.wav,16.24,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan22.mp3
Andean Guan_sound/Andean Guan23,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan23.wav,Andean Guan_sound,0,16.24,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan23.wav,16.24,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan23.mp3
Andean Guan_sound/Andean Guan24,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan24.wav,Andean Guan_sound,0,98.97334375,0,train,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan24.wav,98.97334375,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan24.mp3
Andean Guan_sound/Andean Guan25,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan25.wav,Andean Guan_sound,0,140.416,0,test,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Andean Guan_sound\Andean Guan25.wav,140.416,True,D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan25.mp3
