audio_path,relative_path,folder_name,common_name_folder,file_name,file_size_bytes,readable,samplerate,channels,frames,duration_sec,format,subtype,sha256
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan10.mp3,Andean Guan_sound\Andean Guan10.mp3,Andean Guan_sound,Andean Guan,Andean Guan10.mp3,126992,True,44100,1,349634,7.928208616780045,MP3,MPEG_LAYER_III,bd4487ca87857e6a9723c0f68a66ccf0244f0aa190a94922ff82ea293c725bea
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan11.mp3,Andean Guan_sound\Andean Guan11.mp3,Andean Guan_sound,Andean Guan,Andean Guan11.mp3,331353,True,44100,1,912849,20.69952380952381,MP3,MPEG_LAYER_III,15483bf88886351cfeeb408f41b691a0041cf608e0b3a1fbeaa4dfad1d5ff9f7
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan12.mp3,Andean Guan_sound\Andean Guan12.mp3,Andean Guan_sound,Andean Guan,Andean Guan12.mp3,254869,True,44100,1,702061,15.919750566893423,MP3,MPEG_LAYER_III,37b199382d32759f2e7a37b70bb53924d3a37f4eaccb3787e97389d9986d370e
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan13.mp3,Andean Guan_sound\Andean Guan13.mp3,Andean Guan_sound,Andean Guan,Andean Guan13.mp3,450904,True,44100,1,1242330,28.17074829931973,MP3,MPEG_LAYER_III,775446e6546c68833cbc2b7a6351e592a3af46e62d7f6089a361977bc461a46d
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan14.mp3,Andean Guan_sound\Andean Guan14.mp3,Andean Guan_sound,Andean Guan,Andean Guan14.mp3,369375,True,44100,1,1017637,23.075668934240362,MP3,MPEG_LAYER_III,99d465b5f4e6926458c9947ddd54bd77dd07facf017d5d34bfc1c6c7bb80784a
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan15.mp3,Andean Guan_sound\Andean Guan15.mp3,Andean Guan_sound,Andean Guan,Andean Guan15.mp3,369375,True,44100,1,1017637,23.075668934240362,MP3,MPEG_LAYER_III,99d465b5f4e6926458c9947ddd54bd77dd07facf017d5d34bfc1c6c7bb80784a
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan16.mp3,Andean Guan_sound\Andean Guan16.mp3,Andean Guan_sound,Andean Guan,Andean Guan16.mp3,1105781,True,44100,1,3047511,69.10455782312926,MP3,MPEG_LAYER_III,970e55364334e830c31c6872d859271d06b0f2b8b4a70fccbb7b5c5503b14133
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan17.mp3,Andean Guan_sound\Andean Guan17.mp3,Andean Guan_sound,Andean Guan,Andean Guan17.mp3,809362,True,44100,1,2230586,50.580181405895694,MP3,MPEG_LAYER_III,bb4bbbec5173e5f4a1690719bce26dc18cadbb3a747b5aa52c76de326bda0579
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan18.mp3,Andean Guan_sound\Andean Guan18.mp3,Andean Guan_sound,Andean Guan,Andean Guan18.mp3,707852,True,44100,1,1950826,44.23641723356009,MP3,MPEG_LAYER_III,575e9631adb8ec51f088e67bc16d2b8928fa867df55566ffcd5fe912eb2392bc
D:\other\Bird\Dataset\CC0\Andean Guan_sound\Andean Guan19.mp3,Andean Guan_sound\Andean Guan19.mp3,Andean Guan_sound,Andean Guan,Andean Guan19.mp3,406381,True,44100,1,1472593,33.39213151927438,MP3,MPEG_LAYER_III,6a202505e9f3a404faabd9253aed12e22debb3675956af6e6ba2880d14350a7c
