common_name_folder,recordings,minutes,median_duration_sec
Andean Guan,30,21.598836356764927,29.374965986394557
Rufous-headed Chachalaca,30,17.325836602418743,22.74448979591837
Dwarf Tinamou,30,16.581438397581255,25.192312925170068
Great Tinamou,30,40.744301125519655,36.49467120181406
Grey Tinamou,30,35.71442287060657,21.532664399092972
Grey-headed Chachalaca,30,34.999847441893415,38.98576410147392
Highland Tinamou,30,33.9619988473167,72.8889455782313
Little Chachalaca,30,19.59181209845049,25.477482993197277
Little Tinamou,30,17.28717724867725,32.73859410430839
Andean Tinamou,30,15.339047146636432,14.72514739229025
Orange-footed Scrubfowl,30,65.7177278037604,69.12270833333334
Pale-browed Tinamou,30,14.22619879062736,18.715963718820863
Plain Chachalaca,30,46.881404417044585,46.485125
Red-legged Tinamou,30,18.94497808012094,35.72081632653061
Red-winged Tinamou,30,24.236792278439154,43.68115646258504
Rufous-bellied Chachalaca,30,69.24358515920257,78.09746031746032
Rufous-vented Chachalaca,30,27.708247996976567,26.225816326530612
Dusky Megapode,30,22.69216175359032,27.10015873015873
Rusty-margined Guan,30,21.496996636432343,39.3259977324263
Small-billed Tinamou,30,17.51814108087679,37.680997732426306
Solitary Tinamou,30,17.54221367866591,30.998537414965988
Speckled Chachalaca,30,34.54529273431595,47.22533333333333
Spixs Guan,30,20.326176979402874,31.0827664399093
Spotted Nothura,30,22.32135448790627,24.058061224489798
Tataupa Tinamou,30,17.679404556405892,20.02299319727891
Tawny-breasted Tinamou,30,34.640150883408914,87.94607709750566
Thicket Tinamou,30,54.47305340608467,32.045482355442175
Undulated Tinamou,30,54.20273544973544,113.16086167800454
Variegated Tinamou,30,12.559365617913832,13.86077097505669
West Mexican Chachalaca,30,35.370137063019655,63.156995464852606
White-bellied Nothura,30,15.69397059476568,32.13034013605442
White-throated Tinamou,30,9.031786226851851,11.361156462585033
Dusky-legged Guan,30,23.81577489370748,39.94625
Yellow-legged Tinamou,30,31.98022909580499,43.99725
Chaco Chachalaca,30,52.722363359788346,37.437
Cauca Guan,30,82.84052191987908,110.93738095238095
Band-tailed Guan,30,23.308314314058954,34.79616780045352
Bartletts Tinamou,30,59.123529837490544,66.80237003968254
Crested Guan,30,29.18437649518141,37.1315873015873
Brown Tinamou,30,72.1966830073696,60.07579166666667
Colombian Chachalaca,30,23.09341930508314,28.98799319727891
Chestnut-winged Chachalaca,30,21.937798379629623,43.84171201814059
Brazilian Tinamou,30,42.02332816043084,84.19013605442177
Black-capped Tinamou,30,19.429466137566138,19.523825042517007
Cinereous Tinamou,30,46.20715512093728,54.53759637188209
Blue-throated Piping Guan,30,13.83417180650038,16.546791383219954
Slaty-breasted Tinamou,29,21.67551455026455,17.95501133786848
Australian Brushturkey,28,10.652384771825398,8.222931193310657
Bearded Guan,27,23.921786040249437,34.79616780045352
Brushland Tinamou,26,14.664594619236583,34.15120181405896
Red-faced Guan,24,24.94662433862434,44.50281179138322
Greater Rhea,23,7.10198231292517,7.18655328798186
East Brazilian Chachalaca,22,9.235352324263038,23.599750566893423
Southern Cassowary,20,17.1164698648904,27.474104308390025
Black-billed Brushturkey,20,8.335746674225247,20.19814058956916
White-winged Guan,20,15.37426710128496,31.787853741496598
Black Tinamou,20,20.571192521730918,20.747301587301585
Darwins Nothura,20,18.485362450396824,44.989943594104304
Collared Brushturkey,20,19.09850604686319,43.63455782312925
Philippine Megapode,19,36.37323405612245,64.52848072562358
North Island Brown Kiwi,19,7.195969446806501,16.503604166666666
White-bellied Chachalaca,19,13.980780574452005,12.024444444444445
Scaled Chachalaca,17,5.183300651927437,18.38843537414966
Emu,17,6.242470698696146,18.812625
Marail Guan,17,5.093939153439153,10.834875283446712
Red-throated Piping Guan,15,15.918902371504156,61.16938775510204
Hooded Tinamou,15,8.65191216931217,28.394666666666666
Tongan Megapode,14,2.16883294595616,8.34407029478458
Baudo Guan,14,8.460310657596372,40.87848072562358
Elegant Crested Tinamou,14,2.711005291005291,9.792006802721088
Berlepschs Tinamou,13,4.180648148148149,13.390340136054421
Rusty Tinamou,13,5.1489048941798945,24.301768707482992
Grey-legged Tinamou,12,17.681841076152683,58.45552706916099
White-crested Guan,12,6.854907785336358,26.362460317460318
Black-fronted Piping Guan,12,8.27475812547241,9.456383219954649
Melanesian Megapode,12,8.669558201058202,41.68925170068027
Ornate Tinamou,12,5.90300230064248,25.321757369614513
Chestnut-bellied Guan,12,13.105745653817083,43.05827664399093
Puna Tinamou,12,9.308396925784201,26.031009070294786
Chilean Tinamou,12,3.212150793650794,10.272324263038549
Buff-browed Chachalaca,10,4.688788910147392,19.209138321995464
Huayco Tinamou,10,16.529894179894182,55.32592970521542
Quebracho Crested Tinamou,10,3.395122826908541,22.73201814058957
Lesser Nothura,10,3.6151292517006803,13.564251700680273
Biak Scrubfowl,9,1.6521614583333333,9.3579375
Curve-billed Tinamou,8,1.72710781840514,7.008798185941043
Malleefowl,8,3.4384315972222224,24.831395833333332
Common Ostrich,7,3.7660401951058207,12.071065759637188
Taczanowskis Tinamou,7,2.79174417989418,11.766598639455783
Great Spotted Kiwi,7,3.7870774848828423,25.405736961451247
Choco Tinamou,7,5.075044246031746,24.19829931972789
Maleo,7,1.4248743055555555,12.213208333333334
Micronesian Megapode,7,4.237461829176115,29.498866213151928
New Guinea Scrubfowl,6,0.8467414965986394,8.467414965986395
Northern Cassowary,6,1.8610869331065762,15.957453585600906
Moluccan Megapode,6,1.2213208333333334,12.213208333333334
Little Spotted Kiwi,6,2.538253968253968,18.928390022675735
Red-billed Brushturkey,6,1.001138321995465,10.011383219954649
Sula Megapode,5,3.216082898715042,27.10015873015873
Okarito Kiwi,5,1.9187826908541195,27.412743764172337
Chestnut-headed Chachalaca,4,4.851965230536659,19.209138321995464
Lesser Rhea,4,1.0897375259826154,17.60749036281179
Southern Brown Kiwi,3,0.5228592781557068,11.990204081632653
White-browed Guan,3,0.7167250000000001,4.197791666666666
Vanuatu Megapode,3,0.416400604686319,6.2686621315192745
Wattled Brushturkey,3,0.5005691609977324,10.011383219954649
Barred Tinamou,3,1.7168793438208618,33.506395833333336
Nicobar Megapode,2,2.150949357520786,64.52848072562358
Dwarf Cassowary,2,0.41201267243008316,12.360380172902495
Tepui Tinamou,2,4.559897959183673,136.7969387755102
Trinidad Piping Guan,1,0.9160030234315948,54.96018140589569
Patagonian Tinamou,1,0.5189531368102797,31.13718820861678
Somali Ostrich,1,0.19604513888888891,11.762708333333334
Tanimbar Megapode,1,0.45166931216931216,27.10015873015873
