label_id,common_name,train_clips,train_recordings,val_clips,val_recordings,test_clips,test_recordings,total_recordings,has_train,has_val,has_test,has_all_splits
0,Andean Guan,123,22,32,4,40,4,30,True,True,True,True
1,Andean Tinamou,48,16,7,3,29,3,22,True,True,True,True
2,Australian Brushturkey,83,13,10,3,17,3,19,True,True,True,True
3,Band-tailed Guan,151,21,47,4,33,4,29,True,True,True,True
4,Bartletts Tinamou,332,22,26,4,119,4,30,True,True,True,True
5,Baudo Guan,59,10,10,2,17,2,14,True,True,True,True
6,Bearded Guan,157,19,62,4,22,4,27,True,True,True,True
7,Berlepschs Tinamou,21,5,5,1,3,1,7,True,True,True,True
8,Biak Scrubfowl,9,5,1,1,1,1,7,True,True,True,True
9,Black Tinamou,163,13,11,3,31,3,19,True,True,True,True
10,Black-billed Brushturkey,56,14,16,3,10,3,20,True,True,True,True
11,Black-capped Tinamou,97,17,5,3,20,3,23,True,True,True,True
12,Black-fronted Piping Guan,81,7,9,2,2,2,11,True,True,True,True
13,Blue-throated Piping Guan,89,22,10,4,23,4,30,True,True,True,True
14,Brazilian Tinamou,243,21,60,4,83,4,29,True,True,True,True
15,Brown Tinamou,158,16,38,4,55,4,24,True,True,True,True
16,Brushland Tinamou,94,16,12,4,18,4,24,True,True,True,True
17,Buff-browed Chachalaca,32,5,3,1,3,1,7,True,True,True,True
18,Cauca Guan,558,22,112,4,139,4,30,True,True,True,True
19,Chaco Chachalaca,239,22,34,4,13,4,30,True,True,True,True
20,Chestnut-bellied Guan,55,6,33,2,28,2,10,True,True,True,True
21,Chestnut-winged Chachalaca,150,21,14,4,44,4,29,True,True,True,True
22,Chilean Tinamou,16,4,13,1,3,1,6,True,True,True,True
23,Choco Tinamou,10,3,12,1,11,1,5,True,True,True,True
24,Cinereous Tinamou,258,22,71,4,22,4,30,True,True,True,True
25,Collared Brushturkey,146,14,32,3,39,3,20,True,True,True,True
26,Colombian Chachalaca,135,22,10,4,30,4,30,True,True,True,True
27,Common Ostrich,20,4,5,1,5,1,6,True,True,True,True
28,Crested Guan,214,22,29,4,21,4,30,True,True,True,True
29,Curve-billed Tinamou,3,3,1,1,1,1,5,True,True,True,True
30,Darwins Nothura,79,13,28,3,10,3,19,True,True,True,True
31,Dusky Megapode,158,17,41,3,13,3,23,True,True,True,True
32,Dusky-legged Guan,156,22,26,4,31,4,30,True,True,True,True
33,Dwarf Tinamou,58,17,80,4,14,4,25,True,True,True,True
34,East Brazilian Chachalaca,52,16,30,3,15,3,22,True,True,True,True
35,Elegant Crested Tinamou,5,3,1,1,1,1,5,True,True,True,True
36,Emu,40,12,8,2,14,2,16,True,True,True,True
37,Great Spotted Kiwi,30,5,4,1,3,1,7,True,True,True,True
38,Great Tinamou,258,22,139,4,56,4,30,True,True,True,True
39,Greater Rhea,44,9,15,2,8,2,13,True,True,True,True
40,Grey Tinamou,288,19,52,4,64,4,27,True,True,True,True
41,Grey-headed Chachalaca,222,22,52,4,97,4,30,True,True,True,True
42,Grey-legged Tinamou,141,8,8,2,39,2,12,True,True,True,True
43,Highland Tinamou,221,20,57,4,46,4,28,True,True,True,True
44,Hooded Tinamou,37,10,12,2,7,2,14,True,True,True,True
45,Huayco Tinamou,38,7,1,1,6,1,9,True,True,True,True
46,Lesser Nothura,15,6,2,2,6,2,10,True,True,True,True
47,Little Chachalaca,128,22,23,4,30,4,30,True,True,True,True
48,Little Spotted Kiwi,16,4,9,1,1,1,6,True,True,True,True
49,Little Tinamou,76,22,16,4,20,4,30,True,True,True,True
50,Maleo,10,5,2,1,2,1,7,True,True,True,True
51,Malleefowl,18,6,5,1,3,1,8,True,True,True,True
52,Marail Guan,34,12,4,2,7,2,16,True,True,True,True
53,Melanesian Megapode,48,7,6,2,8,2,11,True,True,True,True
54,Micronesian Megapode,16,3,5,1,19,1,5,True,True,True,True
55,Moluccan Megapode,8,4,2,1,2,1,6,True,True,True,True
56,New Guinea Scrubfowl,4,4,1,1,1,1,6,True,True,True,True
57,North Island Brown Kiwi,48,13,8,3,6,3,19,True,True,True,True
58,Northern Cassowary,13,4,2,1,5,1,6,True,True,True,True
59,Okarito Kiwi,7,3,3,1,3,1,5,True,True,True,True
60,Orange-footed Scrubfowl,252,21,36,4,41,4,29,True,True,True,True
61,Ornate Tinamou,30,6,1,1,1,1,8,True,True,True,True
62,Pale-browed Tinamou,53,10,16,2,16,2,14,True,True,True,True
63,Philippine Megapode,230,13,35,3,36,3,19,True,True,True,True
64,Plain Chachalaca,291,22,38,4,23,4,30,True,True,True,True
65,Puna Tinamou,84,8,7,2,11,2,12,True,True,True,True
66,Quebracho Crested Tinamou,27,7,2,1,5,1,9,True,True,True,True
67,Red-billed Brushturkey,4,4,1,1,1,1,6,True,True,True,True
68,Red-faced Guan,197,16,59,4,19,4,24,True,True,True,True
69,Red-legged Tinamou,115,17,22,3,24,3,23,True,True,True,True
70,Red-throated Piping Guan,138,11,30,2,12,2,15,True,True,True,True
71,Red-winged Tinamou,138,16,11,4,25,4,24,True,True,True,True
72,Rufous-bellied Chachalaca,232,22,39,4,41,4,30,True,True,True,True
73,Rufous-headed Chachalaca,114,22,23,4,11,4,30,True,True,True,True
74,Rufous-vented Chachalaca,125,19,42,4,58,4,27,True,True,True,True
75,Rusty Tinamou,39,9,9,2,6,2,13,True,True,True,True
76,Rusty-margined Guan,130,21,15,4,37,4,29,True,True,True,True
77,Scaled Chachalaca,33,11,9,3,9,3,17,True,True,True,True
78,Slaty-breasted Tinamou,170,15,23,3,28,3,21,True,True,True,True
79,Small-billed Tinamou,78,22,15,4,17,4,30,True,True,True,True
80,Solitary Tinamou,115,17,27,4,27,4,25,True,True,True,True
81,Southern Cassowary,93,12,25,3,53,3,18,True,True,True,True
82,Speckled Chachalaca,268,22,54,4,25,4,30,True,True,True,True
83,Spixs Guan,135,22,26,4,37,4,30,True,True,True,True
84,Spotted Nothura,170,21,12,4,40,4,29,True,True,True,True
85,Sula Megapode,10,3,11,1,1,1,5,True,True,True,True
86,Taczanowskis Tinamou,19,3,2,1,10,1,5,True,True,True,True
87,Tataupa Tinamou,100,20,22,4,43,4,28,True,True,True,True
88,Tawny-breasted Tinamou,201,22,39,4,25,4,30,True,True,True,True
89,Thicket Tinamou,468,18,14,4,97,4,26,True,True,True,True
90,Tongan Megapode,13,10,3,2,2,2,14,True,True,True,True
91,Undulated Tinamou,305,22,49,4,93,4,30,True,True,True,True
92,Variegated Tinamou,112,22,8,4,14,4,30,True,True,True,True
93,West Mexican Chachalaca,207,22,77,4,30,4,30,True,True,True,True
94,White-bellied Chachalaca,115,13,37,3,5,3,19,True,True,True,True
95,White-bellied Nothura,66,19,16,4,18,4,27,True,True,True,True
96,White-crested Guan,43,8,18,2,8,2,12,True,True,True,True
97,White-throated Tinamou,71,22,7,4,11,4,30,True,True,True,True
98,White-winged Guan,103,14,14,3,19,3,20,True,True,True,True
99,Yellow-legged Tinamou,231,17,75,4,53,4,25,True,True,True,True
